raceethnicity,year,city,state,latitude,longitude,state_fp,armed
Black,2015,Millbrook,AL,32.529577,-86.362829,1,No
White,2015,Pineville,LA,31.3217392,-92.4348602,22,No
White,2015,Kenosha,WI,42.5835597,-87.83571009999999,55,No
Hispanic/Latino,2015,South Gate,CA,33.9392976,-118.21946340000001,6,Firearm
White,2015,Munroe Falls,OH,41.1485748,-81.4298782,39,No
White,2015,Phoenix,AZ,33.4693799,-112.0433197,4,No
Hispanic/Latino,2015,Bakersfield,CA,35.3956975,-119.0027449,6,Firearm
Hispanic/Latino,2015,Wilmington,CA,33.7930495,-118.2709256,6,Non-lethal firearm
White,2015,Sunset,TX,30.6653042,-96.4014816,48,Firearm
White,2015,Wyoming,MI,42.8932381,-85.6605835,26,Other
White,2015,Hanford,CA,36.210960299999996,-119.5828798,6,Knife
White,2015,Rancho Santa Margarita,CA,33.6533852,-117.6133728,6,No
Hispanic/Latino,2015,Houston,TX,29.9832049,-95.4038566,48,No
White,2015,Terre Haute ,IN,39.4629302,-87.3788602,18,Firearm
White,2015,Indianapolis,IN,39.7669106,-86.1499634,18,Non-lethal firearm
Hispanic/Latino,2015,Nashville,TN,36.1259117,-86.70901490000001,47,Firearm
Black,2015,Atlanta,GA,33.751262700000005,-84.3930283,13,Vehicle
Hispanic/Latino,2015,Arlington,VA,38.8731527,-77.1050099,51,Firearm
White,2015,San Francisco,CA,37.7894309,-122.42209840000001,6,Firearm
Black,2015,San Francisco,CA,37.62797929999999,-122.45393370000001,6,No
Hispanic/Latino,2015,San Francisco,CA,37.752510799999996,-122.41408009999999,6,Vehicle
Black,2015,Norfolk,NE,42.0185249,-97.3862886,31,No
Hispanic/Latino,2015,Kansas City,KS,39.0714403,-94.6402303,20,Other
White,2015,Fontana,CA,34.077442100000006,-117.4297614,6,Firearm
White,2015,Chickasha,OK,35.0401063,-97.94806729999999,40,Firearm
White,2015,Medford,OR,42.3301735,-122.89873500000002,41,Firearm
White,2015,Derry,NH,42.90808010000001,-71.33664990000001,33,Firearm
White,2015,Sylmar,CA,34.31029,-118.45318970000001,6,Firearm
Black,2015,Putnam Hall,FL,29.743281,-81.963951,12,Firearm
Hispanic/Latino,2015,El Paso,TX,31.857637800000003,-106.43961780000001,48,Firearm
Hispanic/Latino,2015,Corning,CA,39.9362717,-122.2013168,6,Knife
Black,2015,Roxbury,MA,42.3126099,-71.0899229,25,Firearm
Black,2015,Memphis,TN,35.0246391,-90.0544891,47,Vehicle
Black,2015,Huntsville,AL,34.6168404,-86.5641098,1,Knife
Hispanic/Latino,2015,Clarkesville,GA,34.6314812,-83.5972519,13,Firearm
Black,2015,Lancaster,PA,40.0434474,-76.2999885,42,Knife
Black,2015,Chamblee,GA,33.8942184,-84.3032227,13,No
White,2015,Douglas,GA,31.523361199999997,-82.8451767,13,Firearm
Hispanic/Latino,2015,Los Angeles,CA,34.0280075,-118.2735977,6,Firearm
Hispanic/Latino,2015,Pasco,WA,46.22851179999999,-119.1019287,53,Firearm
Black,2015,Strong,AR,33.111282300000006,-92.3590775,5,Firearm
Black,2015,Rome,GA,34.2185669,-85.3869934,13,Knife
Hispanic/Latino,2015,Oklahoma City,OK,35.4262543,-97.5826111,40,Vehicle
White,2015,St Petersburg,FL,27.820074100000003,-82.6588058,12,Firearm
White,2015,Burlington,IA,40.810028100000004,-91.1185837,19,Firearm
Hispanic/Latino,2015,Santa Ana,CA,33.7431641,-117.867981,6,Knife
Hispanic/Latino,2015,Baytown,TX,29.7330154,-94.9706357,48,Other
Black,2015,Atlanta,GA,33.7033899,-84.40805019999999,13,No
White,2015,Gastonia,NC,35.228649100000005,-81.1696243,37,Firearm
White,2015,Albuquerque,NM,35.051790000000004,-106.68833970000001,35,Firearm
White,2015,Bunch,OK,35.6848412,-94.76190190000001,40,Firearm
Black,2015,Washington,DC,38.8984573,-77.032015,11,Firearm
White,2015,Palm Bay,FL,27.990676899999997,-80.64576720000001,12,Knife
Black,2015,Cleveland,OH,41.52857589999999,-81.6090775,39,Firearm
White,2015,Victoria,TX,28.8776989,-97.00153509999998,48,Firearm
White,2015,Middleton,ID,43.7041283,-116.57971950000001,16,Knife
Black,2015,Los Angeles,CA,33.9877281,-118.47171780000001,6,Firearm
White,2015,Eugene,OR,44.0894276,-123.18122220000001,41,Firearm
Unknown,2015,South Gate,CA,33.9523485,-118.1889472,6,Firearm
White,2015,Glenwood Springs,CO,39.56085220000001,-107.3613187,8,Knife
Black,2015,Los Angeles,CA,33.9208252,-118.2461601,6,Firearm
White,2015,Assaria,KS,38.71123239999999,-97.5695687,20,Knife
White,2015,Colton,OR,45.1577606,-122.4377594,41,Non-lethal firearm
Asian/Pacific Islander,2015,Honolulu,HI,21.3106435,-157.86259840000002,15,No
Black,2015,Elizabethtown,KY,37.734657,-85.88842700000001,21,Knife
Black,2015,Coconut Creek,FL,26.256782,-80.167854,12,Firearm
